Name	Primary homeland	Subgroups
Russians	Russia	Cossacks, Pomors, Lipovans, , Ukraine, Kazakhstan, Germany,  , Uzbekistan, israel, Brazil, Belarus, Canada, Latvia, Kyrgyzstan, Moldova, Estonia, Turkmenistan, France, Lithuania , azerbaijan.
Rusyns	Carpathian Ruthenia	Pannonian Rusyns, Lemkos, Hutsuls, Boykos
Ryukyuans	Ryukyu islands 	amami , Okinawan  Miyako, Yaeyama, Yonaguni
Saho	Eritrea	
Sahrawi	Western Sahara , Sahrawi arab Democratic Republic, Mauritania	Reguibat, Tajakant, Tekna
Salar	China 	
Sama-Bajau	Maritime Southeast asia	Sama , Bajaw, abaknon
Sambal	Zambales 	Bolinao, Botolan 
Samoans	Samoan islands 	american Samoans
Sangirese	Sangihe islands 	
Santal	india 	
Sara	Chad, Central african Republic	Ngambay, Doba, Laka, Kabba, Sar, Mbay, Ngam, Dagba, Gulay
Sardinians	Sardinia 	
Sasak	Lombok 	
Savu	Savu 	
Scots	Scotl, 	Ulster Scots, Orcadians, Shetlanders, Highlanders, Lowlanders, ,   , Canada, australia, argentina, ,  Bahamas
Senufo	Mali, ivory Coast, Burkina Faso	Nafana, Minyanka
Serbs	Serbia, Republika Srpska	Kosovo Serbs, Triestine Serbs, , Croatia, Germany, austria, France, , Sweden
Serer	Senegal	Laalaa, Ndut, Niominka, Serer-Noon, Palor, Saafi
Shan	Shan State 	
Sharchops	Bhutan 	
Sherbro	Sherbro isl, 	
Shilluk	South Sudan	Gule
Shona	Mashonal, 	Manyika, Ndau
Sibe	China 	
